building	university	12	BLDG 	building
historic	grave	12	CMTY 	cemetery
landuse	quarry	12	VAL  	valley
leisure	marina	12	BAY  	bay
man_made	lighthouse	12	ADM3 	third-order administrative division
man_made	lighthouse	12	ADM2 	county
man_made	survey_point	12	RDGE 	ridge
natural	scree	12	RKS  	rocks
natural	volcano	12	PK   	peak
place	borough	12	PPLX 	section of populated place
place	borough	12	STM  	stream
place	county	12	PPLA 	seat of a first-order administrative division
place	islet	12	RF   	reef
railway	level_crossing	12	RSTN 	railroad station
tourism	theme_park	12	PRK  	park
tourism	yes	12	PPL  	populated place
landuse	reservoir	11	BCH  	beach
leisure	golf_course	11	PPL  	populated place
railway	tram_stop	11	FRM  	farm
amenity	place_of_worship	11	TMPL 	temple
amenity	parking	11	CH   	church
tourism	attraction	11	STM  	stream
leisure	park	11	STDM 	stadium
boundary	geomorphological-unit	11	MTS  	mountains
tourism	camp_site	11	LCTY 	locality
boundary	Bing Aerial Imagery Brazil	11	PPL  	populated place
amenity	taxi	11	ADM3 	third-order administrative division
place	country	11	PCLI 	independent political entity
historic	ruins	11	PPLQ 	abandoned populated place
place	region	11	PLN  	plain
place	region	11	BAY  	bay
amenity	public_building	11	SCH  	school
amenity	biergarten	11	FRM  	farm
boundary	Bing Aerial Image Brazil	11	PPLA 	seat of a first-order administrative division
place	state	11	ADM2 	county
place	farm	11	HSE  	house
leisure	park	11	CMTY 	cemetery
boundary	aerial_views	11	PPL  	populated place
landuse	reservoir	11	SPNG 	spring
landuse	reservoir	11	PPLX 	section of populated place
railway	stop	11	ADM2 	county
natural	headland	11	CAPE 	cape
man_made	water_well	11	AREA 	area
natural	spring	11	STM  	stream
man_made	surveillance	11	PPLA2	seat of a second-order administrative division
tourism	viewpoint	10	LCTY 	locality
historic	archaeological_site	10	CSTL 	castle
place	hamlet	10	BAR  	bar
place	hamlet	10	RSRT 	resort
place	hamlet	10	MOOR 	moor
place	hamlet	10	PPLF 	farm village
boundary	Yahoo! Aerial Imagery	10	PPL  	populated place
place	island	10	FRMS 	farms
tourism	village_sign	10	PPL  	populated place
place	isolated_dwelling	10	HLL  	hill
place	locality	10	OVF  	overfalls
place	locality	10	AIRP 	airport
place	locality	10	LGN  	lagoon
place	locality	10	PIER 	pier
place	locality	10	GATE 	gate
place	locality	10	LKS  	lakes
place	locality	10	RDJCT	road junction
boundary	national_park	10	ISL  	island
place	province	10	HSP  	hospital
place	province	10	MKT  	market
place	suburb	10	AIRQ 	abandoned airfield
place	town	10	HTL  	hotel
boundary	administrative	10	MSSN 	mission
place	village	10	PP   	police post
place	village	10	MSTY 	monastery
place	village	10	SWT  	sewage treatment plant
boundary	administrative	10	PCLD 	dependent political entity
boundary	administrative	10	FJD  	fjord
amenity	townhall	10	AIRF 	airfield
man_made	beacon	10	PPL  	populated place
railway	halt	10	PPLA 	seat of a first-order administrative division
amenity	shelter	10	MT   	mountain
amenity	school	10	UNIV 	university
\N	country	10	LCTY 	locality
railway	station	10	ISL  	island
railway	station	10	AIRQ 	abandoned airfield
railway	station	10	ST   	street
railway	station	10	RR   	railroad
railway	station site	10	ADM4 	fourth-order administrative division
railway	station site	10	PPL  	populated place
amenity	post_office	10	AIRF 	airfield
amenity	post_office	10	BLDG 	building
amenity	police	10	RSTN 	railroad station
railway	technical_station	10	PPLA2	seat of a second-order administrative division
amenity	ferry_terminal	10	BAY  	bay
amenity	fast_food	10	REST 	restaurant
tourism	caravan_site	10	CMP  	camp
amenity	cinema	10	HTL  	hotel
amenity	bus_station	10	PPLA4	seat of a fourth-order administrative division
tourism	hotel	10	ADM2 	county
tourism	information	10	PND  	pond
tourism	information	10	AREA 	area
tourism	information	10	HTH  	heath
amenity	bar	10	PPLX 	section of populated place
amenity	atm	10	BANK 	bank
aeroway	helipad	10	HSP  	hospital
natural	bay	10	ANCH 	anchorage
natural	bay	10	ADM3 	third-order administrative division
natural	fjord	10	FRM  	farm
man_made	water_works	10	RSTN 	railroad station
man_made	water_works	10	PPL  	populated place
man_made	tower	10	PPLA 	seat of a first-order administrative division
railway	disused	10	PPL  	populated place
leisure	nature_reserve	10	PEN  	peninsula
natural	peak	10	STMI 	intermittent stream
natural	peak	10	ADM2 	county
natural	peak	10	PPLA3	seat of a third-order administrative division
aeroway	aerodrome	10	STNM 	meteorological station
landuse	residential	10	AIRF 	airfield
landuse	recreation_ground	10	RES  	reserve
aeroway	aerodrome	10	AREA 	area
landuse	military	10	CMP  	camp
landuse	forest	10	RDGE 	ridge
historic	yes	10	PPL  	populated place
historic	wreck	10	WRCK 	wreck
natural	tree	10	TREE 	tree
historic	wayside_cross	10	PPL  	populated place
tourism	zoo	10	ZOO  	zoo
natural	water	10	PPLA3	seat of a third-order administrative division
natural	water	10	SPNG 	spring
natural	water	10	DCKB 	docking basin
historic	school	10	SCH  	school
natural	wetland	10	RSV  	reservoir
natural	wood	10	PPL  	populated place
tourism	viewpoint	10	OBPT 	observation point
tourism	viewpoint	10	STM  	stream
historic	railway_station	10	ADM4 	fourth-order administrative division
place	city	10	LCTY 	locality
place	city	10	CAPE 	cape
place	city	10	AIRQ 	abandoned airfield
historic	castle	10	HLL  	hill
